


商品名称 ：铜                  2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,476521,-132582,期货公司  ,432824,-107,期货公司  ,436814,456,
非期货公司,1775,-562,非期货公司,7041,-80,非期货公司,3051,-643,
合约代码 ：cu1804                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
2,永安期货  ,133641,68308,2,鲁证期货  ,45195,-5517,2,华泰期货  ,63359,-1858,
3,东证期货  ,126980,34235,3,中信期货  ,38510,-409,3,一德期货  ,57589,-3825,
4,方正中期  ,88868,27378,4,银河期货  ,37652,-2958,4,方正中期  ,57405,7991,
5,中信期货  ,88554,6361,5,申万期货  ,36784,-6667,5,海通期货  ,38189,22452,
6,银河期货  ,68878,28321,6,东海期货  ,36680,-8316,6,东海期货  ,33906,1247,
7,鲁证期货  ,62369,15321,7,国泰君安  ,34485,-477,7,中信期货  ,33259,-127,
8,申万期货  ,56366,8411,8,华泰期货  ,25245,1366,8,中国国际  ,30613,7162,
9,上海大陆  ,54244,23399,9,光大期货  ,22532,-804,9,美尔雅    ,28288,5480,
10,国投安信  ,51701,14071,10,南华期货  ,22133,-637,10,中辉期货  ,27246,2119,
11,徽商期货  ,51607,14571,11,浙商期货  ,22120,-3009,11,国富期货  ,26201,-212,
12,宏源期货  ,48634,25154,12,海通期货  ,21509,2217,12,银河期货  ,25235,1660,
13,同信久恒  ,44215,22653,13,瑞达期货  ,18348,-137,13,东证期货  ,24857,3737,
14,国泰君安  ,43511,4858,14,华鑫期货  ,16766,96,14,华创期货  ,19335,-110,
15,中辉期货  ,43058,-556,15,方正中期  ,15391,-7153,15,申万期货  ,17611,1541,
16,华泰期货  ,41608,779,16,弘业期货  ,15141,574,16,东华期货  ,17443,964,
17,国信期货  ,40381,13830,17,上海大陆  ,14738,4714,17,东航期货  ,16818,145,
18,东海期货  ,39805,26113,18,信达期货  ,14043,-386,18,国贸期货  ,16114,-376,
19,弘业期货  ,38463,20808,19,海证期货  ,13106,546,19,华鑫期货  ,15384,-2591,
20,中信建投  ,35758,10711,20,道通期货  ,12830,3320,20,新湖期货  ,15216,1445,
合计,,1392966,446607,合计,,512660,-26715,合计,,644960,-17973,
商品名称 ：热轧卷板            2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,1009704,89042,期货公司  ,311157,-5229,期货公司  ,312657,-5229,
非期货公司,0,0,非期货公司,1500,0,非期货公司,0,0,
合约代码 ：hc1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,96626,18616,1,永安期货  ,14789,-1338,1,永安期货  ,17256,432,
2,东证期货  ,48860,7908,2,光大期货  ,8974,632,2,金元期货  ,10004,325,
3,鲁证期货  ,33208,3910,3,瑞达期货  ,8420,28,3,银河期货  ,9419,-414,
4,国投安信  ,33024,-2995,4,海通期货  ,7874,-23,4,华泰期货  ,7655,1484,
5,中信期货  ,32546,3627,5,中国国际  ,7714,2800,5,国泰君安  ,6873,-1139,
6,兴证期货  ,28584,7740,6,西南期货  ,7625,398,6,方正中期  ,6258,180,
7,国泰君安  ,18195,429,7,华泰期货  ,7503,164,7,中国国际  ,6257,778,
8,西南期货  ,15339,792,8,中信期货  ,7360,-630,8,海通期货  ,6155,527,
9,徽商期货  ,14928,120,9,银河期货  ,7066,-1358,9,东航期货  ,5808,-108,
10,中银国际  ,14473,1108,10,国泰君安  ,6965,-536,10,光大期货  ,5378,206,
11,永安期货  ,13978,-4812,11,东兴期货  ,6958,127,11,中信期货  ,5055,-808,
12,中信建投  ,13036,3718,12,弘业期货  ,5456,769,12,格林大华  ,4973,162,
13,银河期货  ,12912,-1528,13,一德期货  ,5085,376,13,兴证期货  ,4826,70,
14,新湖期货  ,12407,1623,14,东证期货  ,5008,-972,14,鲁证期货  ,3818,-870,
15,东航期货  ,12131,2217,15,浙商期货  ,4688,2242,15,国贸期货  ,3768,-162,
16,华泰期货  ,11972,113,16,东海期货  ,3290,-300,16,锦泰期货  ,3516,806,
17,方正中期  ,11630,-3193,17,国贸期货  ,3200,763,17,国投安信  ,3328,62,
18,中国国际  ,11398,1616,18,方正中期  ,2643,-650,18,浙商期货  ,2832,-269,
19,上海中期  ,11164,2201,19,美尔雅    ,2619,-1738,19,申万期货  ,2676,-109,
20,申万期货  ,11076,-2594,20,徽商期货  ,2597,124,20,东海期货  ,2517,-424,
合计,,457487,40616,合计,,125834,878,合计,,118372,729,
合约代码 ：hc1810                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,20014,8089,1,永安期货  ,8359,-148,1,永安期货  ,12395,-3253,
2,鲁证期货  ,18190,1929,2,华泰期货  ,5914,-558,2,华泰期货  ,9465,609,
3,东证期货  ,18151,1479,3,光大期货  ,5412,-1912,3,银河期货  ,8406,-430,
4,中信期货  ,10874,3478,4,鲁证期货  ,5056,59,4,东海期货  ,8377,-2737,
5,永安期货  ,7413,1872,5,海通期货  ,4964,428,5,中信期货  ,6858,1954,
6,华泰期货  ,7175,72,6,东证期货  ,4073,-9,6,光大期货  ,5374,-64,
7,国投安信  ,6193,622,7,中信期货  ,3859,610,7,国泰君安  ,5212,126,
8,兴证期货  ,5695,2227,8,广发期货  ,3620,-618,8,新晟期货  ,4125,2119,
9,上海中期  ,5530,1182,9,西南期货  ,3493,18,9,海通期货  ,4007,34,
10,东海期货  ,5500,2756,10,银河期货  ,3389,-1217,10,广发期货  ,3512,41,
11,光大期货  ,4646,-3574,11,兴证期货  ,3215,1258,11,东证期货  ,2905,354,
12,一德期货  ,4432,1690,12,中大期货  ,3122,372,12,瑞达期货  ,2800,313,
13,申万期货  ,4069,522,13,东吴期货  ,2783,35,13,鲁证期货  ,2379,-1209,
14,徽商期货  ,3892,934,14,东海期货  ,2501,-149,14,上海大陆  ,2186,-193,
15,中银国际  ,3693,460,15,南华期货  ,2419,78,15,方正中期  ,2052,-549,
16,银河期货  ,3639,827,16,五矿经易  ,2409,12,16,浙商期货  ,2008,638,
17,方正中期  ,3339,1341,17,申万期货  ,2303,-15,17,新湖期货  ,1876,-478,
18,华安期货  ,3336,1535,18,摩根大通  ,2250,0,18,宏源期货  ,1736,-46,
19,国泰君安  ,3111,825,19,浙商期货  ,2029,113,19,弘业期货  ,1705,814,
20,浙商期货  ,2935,1551,20,国投安信  ,1879,116,20,一德期货  ,1292,907,
合计,,141827,29817,合计,,73049,-1527,合计,,88670,-1050,
商品名称 ：石油沥青            2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,504958,14050,期货公司  ,231087,2881,期货公司  ,234587,2701,
非期货公司,180,180,非期货公司,7000,-180,非期货公司,3500,0,
合约代码 ：bu1806                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华信期货  ,33466,32022,1,永安期货  ,22392,2064,1,永安期货  ,26357,-679,
2,东证期货  ,33067,11688,2,申万期货  ,12328,-853,2,银河期货  ,12636,1065,
3,海通期货  ,31315,-122,3,银河期货  ,11310,-1347,3,方正中期  ,7763,442,
4,申万期货  ,24047,6738,4,华泰期货  ,11098,1058,4,建信期货  ,6672,-75,
5,中信期货  ,18801,1434,5,中信期货  ,7369,783,5,国泰君安  ,6441,248,
6,中信建投  ,17956,-10391,6,国投安信  ,5703,1406,6,西南期货  ,5516,-105,
7,兴证期货  ,16285,5177,7,浙商期货  ,5638,3795,7,中信期货  ,5274,466,
8,国投安信  ,13972,4056,8,兴证期货  ,5505,-619,8,中银国际  ,4383,11,
9,永安期货  ,10085,22,9,国泰君安  ,5408,-343,9,上海中期  ,4339,51,
10,冠通期货  ,9826,541,10,方正中期  ,4826,285,10,中信建投  ,3481,136,
11,徽商期货  ,9740,-748,11,海通期货  ,3882,-318,11,华信期货  ,3356,81,
12,华安期货  ,8993,-766,12,国元期货  ,3768,284,12,广发期货  ,3189,-228,
13,国泰君安  ,8685,692,13,东航期货  ,3756,-34,13,宏源期货  ,2730,640,
14,铜冠金源  ,8445,1138,14,东证期货  ,3525,174,14,光大期货  ,2697,58,
15,浙商期货  ,8188,2370,15,鲁证期货  ,2913,-570,15,华泰期货  ,2664,336,
16,华泰期货  ,7934,-1238,16,宏源期货  ,2728,-197,16,长江期货  ,2489,4,
17,东航期货  ,6801,-1253,17,新湖期货  ,2667,44,17,国贸期货  ,2381,91,
18,银河期货  ,6598,-240,18,南华期货  ,2355,-331,18,南华期货  ,2323,38,
19,广发期货  ,6339,364,19,光大期货  ,2339,-1154,19,九州期货  ,2322,-8,
20,恒泰期货  ,6201,1146,20,广发期货  ,2149,333,20,东证期货  ,2283,505,
合计,,286744,52630,合计,,121659,4460,合计,,109296,3077,
商品名称 ：天然橡胶            2018-03-28,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,611006,64158,期货公司  ,308896,-4844,期货公司  ,308806,-4844,
非期货公司,0,0,非期货公司,0,0,非期货公司,90,0,
合约代码 ：ru1805                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,43199,255,1,永安期货  ,4891,-1021,1,永安期货  ,15310,-1286,
2,国投安信  ,23275,-2698,2,广发期货  ,4855,-195,2,国贸期货  ,6045,-57,
3,中信期货  ,20532,2011,3,中信期货  ,4494,-190,3,中信期货  ,6039,550,
4,东证期货  ,17524,1534,4,南华期货  ,4447,-341,4,海通期货  ,6009,-885,
5,永安期货  ,15705,7442,5,方正中期  ,4396,-119,5,银河期货  ,5418,-493,
6,鲁证期货  ,15180,1835,6,银河期货  ,3897,7,6,中银国际  ,5412,-82,
7,方正中期  ,10188,-4048,7,国泰君安  ,3338,-24,7,中粮期货  ,5057,99,
8,兴证期货  ,8288,-1353,8,海通期货  ,3258,120,8,华泰期货  ,4877,-549,
9,同信久恒  ,7988,-538,9,华泰期货  ,3225,-24,9,国泰君安  ,3877,-474,
10,中信建投  ,7572,2413,10,光大期货  ,2872,-168,10,东证期货  ,3076,185,
11,银河期货  ,6732,1060,11,中大期货  ,2820,-83,11,瑞达期货  ,3006,126,
12,国泰君安  ,6588,830,12,徽商期货  ,2809,-57,12,申万期货  ,2851,18,
13,申万期货  ,6455,-278,13,国投安信  ,2781,-402,13,广发期货  ,2771,-264,
14,铜冠金源  ,6166,1004,14,浙商期货  ,2754,-55,14,建信期货  ,2636,-120,
15,光大期货  ,5488,2022,15,鲁证期货  ,2717,-291,15,兴证期货  ,2573,-487,
16,徽商期货  ,5401,-486,16,中国国际  ,2622,-420,16,方正中期  ,2438,35,
17,华泰期货  ,5281,92,17,国信期货  ,2484,-156,17,大地期货  ,2385,-34,
18,中融汇信  ,4969,-598,18,瑞达期货  ,2399,-93,18,格林大华  ,2347,50,
19,南华期货  ,4462,552,19,弘业期货  ,2335,506,19,宏源期货  ,2222,-74,
20,中国国际  ,4160,-136,20,申万期货  ,2241,-281,20,国投安信  ,2004,-45,
合计,,225153,10915,合计,,65635,-3287,合计,,86353,-3787,
合约代码 ：ru1809                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,21219,2946,1,永安期货  ,4619,57,1,永安期货  ,14186,189,
2,中信期货  ,13520,1471,2,方正中期  ,4286,221,2,格林大华  ,5596,82,
3,东证期货  ,13261,1956,3,华泰期货  ,4072,208,3,建信期货  ,4736,-25,
4,鲁证期货  ,10065,1794,4,南华期货  ,4021,336,4,大地期货  ,4697,-50,
5,国投安信  ,8290,1491,5,广发期货  ,3975,310,5,华泰期货  ,4504,574,
6,永安期货  ,6714,2690,6,中信期货  ,3500,185,6,国泰君安  ,4422,27,
7,上海中期  ,6383,1680,7,银河期货  ,3404,97,7,方正中期  ,4373,118,
8,华泰期货  ,4400,812,8,海通期货  ,3210,-389,8,宝城期货  ,4338,33,
9,银河期货  ,4379,602,9,徽商期货  ,2813,157,9,中信期货  ,4209,169,
10,方正中期  ,3887,-161,10,中国国际  ,2785,124,10,南华期货  ,3881,-77,
11,申万期货  ,3776,557,11,国投安信  ,2740,328,11,鲁证期货  ,3647,-52,
12,兴证期货  ,3740,-103,12,光大期货  ,2612,89,12,新湖期货  ,3608,81,
13,中辉期货  ,3688,1026,13,瑞达期货  ,2608,-38,13,东证期货  ,3428,38,
14,国泰君安  ,3487,246,14,申万期货  ,2500,137,14,海通期货  ,3426,564,
15,中银国际  ,3430,-162,15,浙商期货  ,2498,169,15,国贸期货  ,3352,17,
16,中融汇信  ,3221,830,16,弘业期货  ,2455,-153,16,银河期货  ,3307,24,
17,国信期货  ,2982,1510,17,中信建投  ,2162,-5,17,渤海期货  ,2972,88,
18,华安期货  ,2970,827,18,东证期货  ,2155,143,18,广发期货  ,2953,107,
19,国贸期货  ,2958,1150,19,国海良时  ,2151,596,19,浙商期货  ,2580,-134,
20,中国国际  ,2953,-813,20,格林大华  ,2088,-115,20,兴证期货  ,2471,64,
合计,,125323,20349,合计,,60654,2457,合计,,86686,1837,
合约代码 ：ru1901                        2018-03-28,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,东证期货  ,2489,378,1,永安期货  ,2839,7,1,格林大华  ,1839,41,
2,海通期货  ,767,-328,2,格林大华  ,2079,2,2,中信期货  ,1417,43,
3,中信期货  ,700,278,3,首创京都  ,1047,-1,3,永安期货  ,1223,-7,
4,鲁证期货  ,640,-1013,4,华泰期货  ,971,-49,4,南证期货  ,1141,-9,
5,广发期货  ,576,331,5,银河期货  ,930,-12,5,中粮期货  ,1008,2,
6,永安期货  ,378,-152,6,国贸期货  ,820,6,6,华泰期货  ,997,0,
7,南华期货  ,275,0,7,光大期货  ,815,126,7,大地期货  ,984,2,
8,中融汇信  ,256,-154,8,金瑞期货  ,809,0,8,国泰君安  ,953,7,
9,东航期货  ,216,41,9,兴证期货  ,704,-1,9,海通期货  ,930,112,
10,中信建投  ,215,104,10,建信期货  ,618,0,10,国投安信  ,755,-12,
11,光大期货  ,193,57,11,国泰君安  ,611,1,11,国信期货  ,740,17,
12,中辉期货  ,189,-73,12,海通期货  ,607,-1,12,申万期货  ,732,5,
13,中银国际  ,180,-172,13,中信期货  ,567,-3,13,光大期货  ,602,-5,
14,大地期货  ,167,21,14,广发期货  ,567,32,14,宝城期货  ,581,-1,
15,华信期货  ,157,-54,15,中银国际  ,501,0,15,五矿经易  ,576,5,
16,格林大华  ,143,-158,16,弘业期货  ,484,1,16,中融汇信  ,572,0,
17,申万期货  ,137,62,17,申万期货  ,442,-62,17,建信期货  ,511,63,
18,银河期货  ,133,-36,18,中信建投  ,385,-76,18,国联期货  ,506,6,
19,华安期货  ,126,-67,19,中粮期货  ,377,8,19,中银国际  ,502,0,
20,华泰期货  ,123,-91,20,大地期货  ,371,29,20,银河期货  ,466,9,
合计,,8060,-1026,合计,,16544,7,合计,,17035,278,
